Metacritic_score,Normalized_playtime,Positive_review_threshold
0.8,0.622,1
0.79,0.247,1
0.78,0.435,1
0.76,0.392,1
0.84,0.508,0
0.79,0.358,1
0.85,0.036,1
0.85,0.343,1
0.81,0.398,1
0.83,0.505,1
0.85,0.428,1
0.75,0.474,1
0.8,0.277,1
0.68,0.526,1
0.82,0.553,1
0.72,0.405,1
0.6,0.302,1
0.6,0.686,0
0.77,0.57,1
0.77,0.277,1
0.82,0.354,1
0.77,0.797,1
0.84,0.377,1
0.76,0.476,0
0.66,0.605,0
0.7,0.528,1
0.72,0.472,0
0.68,0.449,1
0.93,0.669,1
0.75,0.441,1
0.73,0.291,1
0.76,0.399,1
0.52,0.303,0
0.64,0.15,0
0.76,0.42,1
0.84,0.025,1
0.74,0.425,0
0.76,0.223,1
0.64,0.328,0
0.76,0.537,1
0.57,0.423,1
0.76,0.517,1
0.79,0.515,1
0.78,0.305,1
0.69,0.387,0
0.8,0.445,1
0.77,0.231,0
0.74,0.403,1
0.8,0.345,1
0.79,0.146,0
0.49,0.421,0
0.59,0.446,1
0.66,0.645,1
0.5,0.284,0
0.76,0.545,1
0.79,0.44,1
0.53,0.55,0
0.75,0.442,0
0.85,0.676,1
0.79,0.435,1
0.81,0.357,1
0.66,0.391,0
0.79,0.552,1
0.72,0.43,1
0.75,0.358,1
0.83,0.818,1
0.8,0.08,1
0.76,0.488,0
0.8,0.376,1
0.7,0.443,1
0.7,0.449,1
0.77,0.447,1
0.79,0.0,1
0.85,0.521,1
0.79,0.564,1
0.68,0.437,0
0.82,0.495,1
0.8,0.525,1
0.72,0.487,1
0.78,0.379,1
0.75,0.446,1
0.77,0.492,0
0.72,0.466,1
0.72,0.474,1
0.45,0.38,0
0.78,0.523,1
0.74,0.382,1
0.73,0.39,0
0.63,0.396,0
0.54,0.48,0
0.75,0.357,0
0.75,0.394,1
0.77,0.354,1
0.68,0.431,1
0.74,0.659,1
0.76,0.514,1
0.76,0.238,1
0.81,0.559,1
0.78,0.477,1
0.65,0.22,0
0.75,0.544,1
0.55,0.529,0
0.87,0.554,1
0.79,0.593,1
0.7,0.3,1
0.47,0.446,0
0.76,0.408,1
0.75,0.602,1
0.75,0.167,1
0.66,0.38,1
0.83,0.101,1
0.79,0.283,1
0.74,0.555,1
0.81,0.486,1
0.69,0.622,1
0.69,0.423,1
0.69,0.336,0
0.77,0.463,1
0.75,0.335,0
0.8,0.146,0
0.87,0.361,1
0.57,0.303,1
0.86,0.477,1
0.82,0.57,1
0.57,0.217,0
0.61,0.387,0
0.69,0.055,0
0.54,0.672,0
0.84,0.391,1
0.64,0.217,0
0.47,0.369,0
0.6,0.46,0
0.78,0.453,1
0.83,0.63,1
0.57,0.163,0
0.75,0.243,1
0.81,0.38,1
0.67,0.368,1
0.77,0.59,1
0.72,0.498,1
0.63,0.3,1
0.6,0.588,0
0.72,0.323,1
0.62,0.423,1
0.89,0.593,1
0.77,0.493,1
0.62,0.389,0
0.83,0.608,0
0.82,0.557,1
0.85,0.723,0
0.69,0.488,0
0.69,0.551,1
0.76,0.426,1
0.35,0.67,0
0.65,0.146,0
0.72,0.596,1
0.62,0.335,0
0.91,0.752,1
0.72,0.228,1
0.85,0.313,1
0.82,0.691,1
0.8,0.435,1
0.75,0.405,1
0.74,0.466,1
0.81,0.618,1
0.72,0.46,1
0.78,0.367,0
0.77,0.496,1
0.8,0.437,1
0.95,0.539,1
0.62,0.635,0
0.64,0.12,0
0.63,0.588,1
0.81,0.399,1
0.89,0.354,1
0.68,0.3,0
0.56,0.528,0
0.68,0.427,0
0.8,0.727,1
