Metacritic_score,Median_playtime,Price,Positive_review_threshold
0.8,0.546,0.223,1
0.68,0.422,0.079,0
0.67,0.288,0.136,0
0.89,0.608,0.568,1
0.82,0.336,0.064,1
0.85,0.545,0.136,0
0.63,0.388,0.28,0
0.66,0.48,0.05,0
0.47,0.447,0.28,0
0.79,0.518,0.28,1
0.76,0.4,0.208,0
0.89,0.469,0.18,1
0.81,0.539,0.28,1
0.81,0.482,0.165,1
0.75,0.415,0.064,0
0.78,0.431,0.28,1
0.68,0.495,0.136,1
0.79,0.547,0.136,1
0.34,0.364,0.064,0
0.59,0.159,0.28,0
0.8,0.724,0.424,1
0.47,0.37,0.122,0
0.61,0.388,0.208,0
0.81,0.378,0.28,1
0.8,0.403,0.208,1
0.79,0.441,0.223,1
0.82,0.36,0.064,0
0.76,0.397,0.28,1
0.75,0.351,0.28,1
0.73,0.508,0.28,0
0.64,0.399,0.136,1
0.75,0.395,0.108,1
0.59,0.176,0.079,0
0.66,0.34,0.064,0
0.9,0.508,0.028,1
0.8,0.371,0.424,1
0.8,0.47,0.064,1
0.8,0.358,0.136,1
0.87,0.716,0.856,0
0.65,0.108,0.28,0
0.82,0.37,0.208,0
0.9,0.453,0.352,1
0.72,0.29,0.208,0
0.78,0.603,0.28,1
0.87,0.517,0.151,1
0.7,0.141,0.007,0
0.66,0.409,0.064,0
0.78,0.646,0.568,0
0.8,0.324,0.28,1
0.89,0.469,0.136,0
0.79,0.589,0.208,1
0.78,0.589,0.856,0
0.72,0.532,0.136,0
0.68,0.604,0.856,1
0.9,0.131,0.064,0
0.81,0.572,0.208,0
0.75,0.469,0.28,1
0.69,0.673,0.424,0
0.61,0.312,0.108,0
0.51,0.429,0.136,0
0.76,0.419,0.021,1
0.7,0.495,0.136,1
0.71,0.353,0.208,1
0.64,0.45,0.136,0
0.77,0.473,0.352,1
0.64,0.499,0.496,0
0.72,0.599,0.28,0
0.4,0.404,0.136,0
0.72,0.46,0.064,0
0.77,0.374,0.136,1
0.75,0.439,0.043,0
0.79,0.554,0.424,1
0.79,0.386,0.064,1
0.7,0.095,0.136,0
0.85,0.373,0.136,0
0.7,0.327,0.208,0
0.74,0.646,0.352,0
0.65,0.462,0.28,0
0.83,0.359,0.122,1
0.78,0.689,0.352,1
0.79,0.441,0.208,1
0.7,0.716,0.424,0
0.85,0.443,0.136,1
0.85,0.434,0.424,1
0.57,0.513,0.352,0
0.8,0.687,0.424,0
0.71,0.464,0.28,0
0.7,0.341,0.093,0
0.68,0.248,0.108,1
0.91,0.482,0.28,1
0.75,0.558,0.352,1
0.45,0.529,0.079,0
0.73,0.522,0.28,0
0.71,0.904,0.28,0
0.76,0.306,0.136,0
0.8,0.168,0.208,0
0.75,0.562,0.136,0
0.67,0.525,0.352,0
0.68,0.678,0.136,0
0.56,0.081,0.136,0
0.79,0.392,0.064,1
0.53,0.261,0.28,1
0.74,0.565,0.28,0
0.72,0.406,0.136,0
0.75,0.592,0.28,1
0.7,0.563,0.136,0
0.78,0.406,0.165,0
0.74,0.424,0.18,0
0.72,0.509,0.424,1
0.76,0.409,0.136,1
0.59,0.475,0.28,0
0.69,0.462,0.194,0
0.73,0.409,0.28,0
0.68,0.395,0.208,1
0.79,0.418,0.352,0
0.77,0.432,0.025,0
0.53,0.013,0.136,0
0.62,0.335,0.108,1
0.57,0.379,0.424,0
0.83,0.54,0.108,1
0.77,0.453,0.136,1
0.77,0.426,0.064,0
0.82,0.409,0.165,1
0.75,0.358,0.165,0
0.33,0.701,0.424,0
0.78,0.073,0.064,0
0.67,0.403,0.208,0
0.85,0.241,0.122,0
0.68,0.419,0.208,0
0.45,0.381,0.136,0
0.77,0.439,0.136,1
0.8,0.32,0.28,1
0.72,0.512,0.352,0
0.86,0.983,0.712,1
0.7,0.474,0.036,0
0.71,0.431,0.136,1
0.68,0.362,0.208,1
0.68,0.274,0.28,0
0.78,0.505,0.28,1
0.82,0.146,0.28,1
0.7,0.587,0.568,0
0.77,0.401,0.28,1
0.9,0.459,0.108,1
0.76,0.326,0.208,0
0.79,0.654,0.136,1
0.64,0.381,0.208,0
0.8,0.47,0.28,1
0.72,0.206,0.28,0
0.74,0.383,0.208,1
0.81,0.536,0.208,0
0.84,0.467,0.28,1
0.74,0.612,0.352,1
0.84,0.342,0.136,1
0.73,0.369,0.093,0
0.54,0.423,0.568,0
0.92,0.313,0.136,1
0.82,0.229,0.18,0
0.45,0.179,0.064,0
0.73,0.638,0.136,1
0.81,0.726,0.136,1
0.73,0.088,0.079,1
0.85,0.502,0.28,1
0.78,0.634,0.352,1
0.43,0.419,0.208,0
0.92,0.293,0.136,1
0.61,0.42,0.136,0
0.66,0.325,0.136,0
0.67,0.248,0.352,0
0.75,0.627,0.424,1
